layer.1 MC19 layer.2
          NA 1.010000e+02 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.010000e+02           NA
          NA 1.000000e+00 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.500000e+01 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.849296e+01 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.500000e+01 1.000000e+00
          NA 1.000000e+00 0.000000e+00
          NA 1.000000e+00 0.000000e+00
          NA 1.082289e+00 1.000000e+00
          NA 1.010000e+02 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 0.000000e+00
          NA 1.010000e+02 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 2.465849e+01 0.000000e+00
          NA 1.895614e+01 1.000000e+00
          NA 3.657566e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.010000e+02 1.000000e+00
          NA 8.149781e+01 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.010000e+02 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.010000e+02           NA
          NA 2.043172e+01 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.500000e+01 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.008519e+02 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 0.000000e+00
          NA 1.000000e+00 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 2.145548e+01 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 3.921022e+01           NA
          NA 1.726782e+01 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00           NA
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00           NA
          NA 1.000000e+00 1.000000e+00
          NA 1.500000e+01 1.000000e+00
          NA 9.993731e+01 0.000000e+00
          NA 1.000000e+00 0.000000e+00
          NA 1.010000e+02           NA
          NA 1.010000e+02 0.000000e+00
          NA 5.309225e+01 1.000000e+00
          NA 1.500000e+01 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.500000e+01 0.000000e+00
          NA 2.519744e+01 0.000000e+00
          NA 1.941722e+01 1.000000e+00
          NA 1.000000e+00           NA
          NA 2.939926e+00 0.000000e+00
          NA 1.010000e+02           NA
          NA 1.490058e+01 1.000000e+00
          NA 7.017850e+01 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.500000e+01 0.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.500000e+01 1.000000e+00
          NA 1.500000e+01 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 2.711874e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.000000e+00 1.000000e+00
          NA 1.010000e+02 1.000000e+00
          NA 1.608298e+01 1.000000e+00
          NA 1.000000e+00 1.000000e+00
