fid,DN,Area
1,"1",1175.810
2,"1",5207.179
3,"1",1427.779
4,"1",9658.542
5,"1",167.975
6,"1",167.976
7,"1",10078.558
8,"1",83.988
9,"1",83.988
10,"1",755.898
11,"1",32503.961
12,"1",755.914
13,"1",83.991
14,"1",335.982
15,"1",251.986
16,"1",167.992
17,"1",251.989
18,"1",167.993
19,"1",1763.925
20,"1",80804.507
21,"1",167.994
22,"1",1176.013
23,"1",1764.093
24,"1",336.018
25,"1",336.018
26,"1",504.029
27,"1",84.005
28,"1",3528.212
29,"1",336.020
30,"1",84.005
31,"1",14028.874
32,"1",588.038
33,"1",501080.427
34,"1",840.057
35,"1",252.017
36,"1",8400.576
37,"1",84.006
38,"1",420.030
39,"1",84.006
40,"1",336.024
41,"1",84.006
42,"1",1764.129
43,"1",168.013
44,"1",86946.001
45,"1",1512.117
46,"1",504.041
47,"1",15782093.260
48,"1",168.014
49,"1",5292.443
50,"1",358453.466
51,"1",10584.920
52,"1",106353.932
53,"1",211362.067
54,"1",84.009
55,"1",1596.169
56,"1",168.018
57,"1",60990.391
58,"1",420.046
59,"1",924.101
60,"1",1596.177
61,"1",252.028
62,"1",1512.172
63,"1",168.019
64,"1",840.097
65,"1",44441.262
66,"1",30495.788
67,"1",840.107
68,"1",84.011
69,"1",588.076
70,"1",6888.891
71,"1",3696.489
72,"1",3780.505
73,"1",3780.510
74,"1",12013.626
75,"1",756.108
76,"1",588.085
77,"1",504.073
78,"1",252.037
79,"1",168.025
80,"1",1176.176
81,"1",84.013
82,"1",336.051
83,"1",168.025
84,"1",168.025
85,"1",168.026
86,"1",9325.413
87,"1",1848.284
88,"1",168.026
89,"1",84.013
90,"1",336.052
91,"1",65025.905
92,"1",3108.479
93,"1",83088.792
94,"1",1764.278
95,"1",84.013
96,"1",84.013
97,"1",420.067
98,"1",84.013
99,"1",9577.548
100,"1",322943.814
101,"1",3276.531
102,"1",1008.165
103,"1",84.014
104,"1",20583.359
105,"1",39738.471
106,"1",588.098
107,"1",84.014
108,"1",84.014
109,"1",1596.267
110,"1",840.142
111,"1",336.056
112,"1",1596.270
113,"1",420.072
114,"1",45199.541
115,"1",84.015
116,"1",84.015
117,"1",84.015
118,"1",1260.229
119,"1",420.080
120,"1",336.064
121,"1",1176.225
122,"1",168.032
123,"1",45452.656
124,"1",1143891.991
125,"1",72506.656
126,"1",420.088
127,"1",2772.602
128,"1",168.038
129,"1",84.019
130,"1",672.154
131,"1",803617.606
132,"1",336.078
133,"1",297931.474
134,"1",17644.118
135,"1",274825.988
136,"1",504.120
137,"1",84.020
138,"1",1176.286
139,"1",336.082
140,"1",36465.073
141,"1",20501.523
142,"1",420.119
143,"1",924.265
144,"1",42600.112
145,"1",84.024
146,"1",672.199
147,"1",336.100
148,"1",168.050
149,"1",336.100
150,"1",168.050
151,"1",244258.122
152,"1",504.165
153,"1",1188468.008
154,"1",2268.749
155,"1",84.028
156,"1",168.056
157,"1",168.056
158,"1",1428.478
159,"1",588.198
160,"1",84.028
161,"1",1680.568
162,"1",16553.550
163,"1",84.029
164,"1",84.029
165,"1",84.029
166,"1",84.029
167,"1",994812.530
168,"1",41089.926
169,"1",2100.738
170,"1",6386.250
171,"1",51006.103
172,"1",84.030
173,"1",603426.480
174,"1",83611.711
175,"1",3277.284
176,"1",31933.193
177,"1",168.074
178,"1",1092.514
179,"1",842276.780
180,"1",5378.867
181,"1",84.045
182,"1",168.090
183,"1",2689.507
184,"1",2521.456
185,"1",84.049
186,"1",5715.315
187,"1",657837.002
188,"1",4370.561
189,"1",336.198
190,"1",84.050
191,"1",84.050
192,"1",588.349
193,"1",5042.995
194,"1",3361.996
195,"1",336.202
196,"1",84.051
197,"1",19751.833
198,"1",336.205
199,"1",336.207
200,"1",588.363
201,"1",336.209
202,"1",1071974.245
203,"1",4118.574
204,"1",588.368
205,"1",84.053
206,"1",84.056
207,"1",336.225
208,"1",1344.917
209,"1",1092.745
210,"1",1428.974
211,"1",2605.784
212,"1",84.059
213,"1",84.059
214,"1",84.060
215,"1",336.239
216,"1",444420.571
217,"1",1008.720
218,"1",168.121
219,"1",84.061
220,"1",25050.051
221,"1",2605.888
222,"1",20510.783
223,"1",336.244
224,"1",1008.733
225,"1",336.244
226,"1",84.061
227,"1",336.245
228,"1",84.061
229,"1",168.123
230,"1",84.062
231,"1",84.062
232,"1",336.247
233,"1",20090.781
234,"1",84.062
235,"1",84.062
236,"1",9162.795
237,"1",25218.634
238,"1",336.251
239,"1",3782.830
240,"1",336.253
241,"1",2521.893
242,"1",84.063
243,"1",84.063
244,"1",756.569
245,"1",336.253
246,"1",2858.156
247,"1",1597.204
248,"1",2437.843
249,"1",168.127
250,"1",3707977.215
251,"1",336.255
252,"1",1345.020
253,"1",336.255
254,"1",84.064
255,"1",84.064
256,"1",336.256
257,"1",252.193
258,"1",84.064
259,"1",84.064
260,"1",4623.531
261,"1",133492.667
262,"1",84.064
263,"1",336.258
264,"1",18494.111
265,"1",27993.278
266,"1",336.258
267,"1",1429.097
268,"1",84.065
269,"1",252.194
270,"1",84.065
271,"1",8406.472
272,"1",252.194
273,"1",252.195
274,"1",2353.821
275,"1",588.455
276,"1",336.260
277,"1",3446.676
278,"1",84.065
279,"1",21856.996
280,"1",84.065
281,"1",84.065
282,"1",1176.917
283,"1",12609.836
284,"1",4371.419
285,"1",504.394
286,"1",84.066
287,"1",9667.568
288,"1",588.462
289,"1",11517.020
290,"1",9667.583
291,"1",84.066
292,"1",84.066
293,"1",1955901.034
294,"1",243285.488
295,"1",336.266
296,"1",64142.412
297,"1",252.200
298,"1",672.533
299,"1",1092.867
300,"1",2185.731
301,"1",252.200
302,"1",252.200
303,"1",336.267
304,"1",2017.599
305,"1",252.200
306,"1",504.400
307,"1",168.133
308,"1",54895.403
309,"1",8911.055
310,"1",84.067
311,"1",129798.442
312,"1",7734.153
313,"1",4371.479
314,"1",84.067
315,"1",336.268
316,"1",336.268
317,"1",1429.140
318,"1",168.134
319,"1",756.605
320,"1",504.403
321,"1",106260.459
322,"1",2606.089
323,"1",336.269
324,"1",336.270
325,"1",84.067
326,"1",84739.390
327,"1",85328.034
328,"1",84.068
329,"1",2101.689
330,"1",84.068
331,"1",84.068
332,"1",84.068
333,"1",84.068
334,"1",84.068
335,"1",2639808.143
336,"1",252.203
337,"1",336.271
338,"1",756.609
339,"1",1345.084
340,"1",3278.638
341,"1",10424.403
342,"1",420.339
343,"1",604102.270
344,"1",504.408
345,"1",84.068
346,"1",588.478
347,"1",10256.335
348,"1",168.137
349,"1",336.274
350,"1",84.069
351,"1",504.412
352,"1",252.206
353,"1",336.275
354,"1",924.756
355,"1",84.069
356,"1",84.069
357,"1",174357.541
358,"1",588.483
359,"1",84.069
360,"1",7902.494
361,"1",336.276
362,"1",1345.106
363,"1",588.485
364,"1",84.069
365,"1",71962.983
366,"1",168.139
367,"1",84.069
368,"1",84.069
369,"1",1345.111
370,"1",336.278
371,"1",84.070
372,"1",84.070
373,"1",6137.066
374,"1",168.139
375,"1",56494.671
376,"1",588.488
377,"1",84.070
378,"1",336.279
379,"1",336.280
380,"1",84.070
381,"1",84.070
382,"1",84.070
383,"1",910215.595
384,"1",9415.866
385,"1",84.070
386,"1",840.704
387,"1",168.141
388,"1",84.071
389,"1",84.072
390,"1",1092.938
391,"1",336.289
392,"1",336.289
393,"1",252.217
394,"1",588.507
395,"1",336.290
396,"1",2606.250
397,"1",168.145
398,"1",840.727
399,"1",336.291
400,"1",1849.603
401,"1",588.510
402,"1",84.073
403,"1",84.073
404,"1",433050.647
405,"1",1681.462
406,"1",840.732
407,"1",84.073
408,"1",84.073
409,"1",588.513
410,"1",336.294
411,"1",84.074
412,"1",504.441
413,"1",3026.653
414,"1",924.813
415,"1",336.296
416,"1",84.074
417,"1",84.074
418,"1",4371.868
419,"1",336.298
420,"1",84.074
421,"1",84.075
422,"1",84.075
423,"1",84.075
424,"1",84.075
425,"1",84.075
426,"1",84.075
427,"1",84.075
428,"1",84.075
429,"1",8155.269
430,"1",6641.909
431,"1",2354.103
432,"1",84.075
433,"1",84.075
434,"1",84.075
435,"1",5633.048
436,"1",336.301
437,"1",84.075
438,"1",84.075
439,"1",84.075
440,"1",336.302
441,"1",336.302
442,"1",84.075
443,"1",9164.205
444,"1",1681.512
445,"1",84.075
446,"1",84.076
447,"1",117368.885
448,"1",156379.469
449,"1",1849.663
450,"1",1933.741
451,"1",5548.994
452,"1",252.227
453,"1",168.152
