fid,DN,Area,AreaHa
7,"1",10078.558,1.008
11,"1",32503.961,3.250
20,"1",80804.507,8.080
31,"1",14028.874,1.403
33,"1",501080.427,50.108
44,"1",86946.001,8.695
47,"1",15782093.260,1578.209
50,"1",358453.466,35.845
51,"1",10584.920,1.058
52,"1",106353.932,10.635
53,"1",211362.067,21.136
57,"1",60990.391,6.099
65,"1",44441.262,4.444
66,"1",30495.788,3.050
74,"1",12013.626,1.201
91,"1",65025.905,6.503
93,"1",83088.792,8.309
100,"1",322943.814,32.294
104,"1",20583.359,2.058
105,"1",39738.471,3.974
114,"1",45199.541,4.520
123,"1",45452.656,4.545
124,"1",1143891.991,114.389
125,"1",72506.656,7.251
131,"1",803617.606,80.362
133,"1",297931.474,29.793
134,"1",17644.118,1.764
135,"1",274825.988,27.483
140,"1",36465.073,3.647
141,"1",20501.523,2.050
144,"1",42600.112,4.260
151,"1",244258.122,24.426
153,"1",1188468.008,118.847
162,"1",16553.550,1.655
167,"1",994812.530,99.481
168,"1",41089.926,4.109
171,"1",51006.103,5.101
173,"1",603426.480,60.343
174,"1",83611.711,8.361
176,"1",31933.193,3.193
179,"1",842276.780,84.228
187,"1",657837.002,65.784
197,"1",19751.833,1.975
202,"1",1071974.245,107.197
216,"1",444420.571,44.442
220,"1",25050.051,2.505
222,"1",20510.783,2.051
233,"1",20090.781,2.009
237,"1",25218.634,2.522
250,"1",3707977.215,370.798
261,"1",133492.667,13.349
264,"1",18494.111,1.849
265,"1",27993.278,2.799
279,"1",21856.996,2.186
283,"1",12609.836,1.261
289,"1",11517.020,1.152
293,"1",1955901.034,195.590
294,"1",243285.488,24.329
296,"1",64142.412,6.414
308,"1",54895.403,5.490
311,"1",129798.442,12.980
321,"1",106260.459,10.626
326,"1",84739.390,8.474
327,"1",85328.034,8.533
335,"1",2639808.143,263.981
341,"1",10424.403,1.042
343,"1",604102.270,60.410
347,"1",10256.335,1.026
357,"1",174357.541,17.436
365,"1",71962.983,7.196
375,"1",56494.671,5.649
383,"1",910215.595,91.022
404,"1",433050.647,43.305
447,"1",117368.885,11.737
448,"1",156379.469,15.638
456,"1",54648.761,5.465
457,"1",106859.211,10.686
482,"1",18076.406,1.808
511,"1",17740.270,1.774
514,"1",3927524.192,392.752
515,"1",130991.299,13.099
520,"1",123761.942,12.376
534,"1",1275343.561,127.534
559,"1",45738.717,4.574
563,"1",10846.200,1.085
574,"1",17236.207,1.724
593,"1",1974279.765,197.428
607,"1",19506.661,1.951
621,"1",406610.298,40.661
639,"1",3074032.089,307.403
652,"1",11687.553,1.169
657,"1",274612.318,27.461
659,"1",85428.033,8.543
664,"1",12192.141,1.219
693,"1",10678.838,1.068
696,"1",552018.794,55.202
700,"1",21021.568,2.102
702,"1",108471.106,10.847
703,"1",642243.390,64.224
705,"1",20853.420,2.085
707,"1",138070.147,13.807
708,"1",33298.373,3.330
730,"1",80387.560,8.039
731,"1",151525.272,15.153
733,"1",105446.276,10.545
736,"1",49696.074,4.970
738,"1",30019.528,3.002
745,"1",53564.422,5.356
753,"1",21274.591,2.127
754,"1",26992.629,2.699
763,"1",15808.936,1.581
766,"1",8975169.058,897.517
767,"1",33720.106,3.372
768,"1",12193.083,1.219
776,"1",26236.274,2.624
781,"1",225026.677,22.503
786,"1",15472.837,1.547
791,"1",33972.962,3.397
793,"1",655734.228,65.573
798,"1",19341.088,1.934
799,"1",36663.975,3.666
801,"1",21779.769,2.178
806,"1",13454.730,1.345
813,"1",15641.167,1.564
823,"1",70637.726,7.064
883,"1",16819.339,1.682
899,"1",10007.616,1.001
903,"1",42721.558,4.272
920,"1",21781.750,2.178
936,"1",13708.382,1.371
940,"1",108657.848,10.866
