Cobertura;name;Punto_ID;Nombre;Municipio;Departamento;Latitud;Longitud;Elevación;Fecha replica 1;Fecha replica 2;Forest OK
Café;Shade_Coffee;JAR16;Senderos_de_Jardin;Jardin;Antioquia;5.599074;-75.829508;1808;;;
Bosque;Secondary_Forest;JAR17;Senderos_de_Jardin;Jardin;Antioquia;5.598538;-75.831581;1808;;;
Café;Shade_Coffee;JAR18;Senderos_de_Jardin;Jardin;Antioquia;5.604801;-75.83684;1774;;;
Café;Shade_Coffee;JAR19;Senderos_de_Jardin;Jardin;Antioquia;5.603154;-75.836299;1774;;;
Bosque;Secondary_Forest;JAR20;La_Esperanza_Bird_Reserve;Jardin;Antioquia;5.618368;-75.83516;2030;;;
Bosque;Secondary_Forest;JAR21;La_Esperanza_Bird_Reserve;Jardin;Antioquia;5.61793;-75.836411;2060;;;
Bosque;Mature_Forest;JAR22;La_Esperanza_Bird_Reserve;Jardin;Antioquia;5.6165;-75.83784;2115;;;
Bosque;Secondary_Forest;JAR23;La_Esperanza_Bird_Reserve;Jardin;Antioquia;5.617633;-75.837314;2054;;;
Bosque;Mature_Forest;ZAF8;RN_Zafra_San_Rafael;San Rafael;Antioquia;6.25233;-75.00455;1144;;;
Bosque;Secondary_Forest;ZAF9;RN_Zafra_San_Rafael;San Rafael;Antioquia;6.25335;-75.00759;1146;;;
Bosque;Bosque denso;Bol01;;Santa Rosa Del Sur;Bolivar;7.837796;-74.353674;1195;;;
Bosque;Bosque denso;Bol02;;Santa Rosa Del Sur;Bolivar;7.481411;-74.253439;1032;;;
Bosque;Bosque de galeria;Boy01;La Chula, Vereda El Oso Páez, Boyacá;Páez;Boyacá;5.163104;-73.009827;1417;;;
Bosque;Bosque Denso;Boy02;;Pajarito;Boyacá;5.37095;-72.727714;1768;;;
Bosque;Bosque Denso;Boy03;;Pajarito;Boyacá;5.345855;-72.732677;1777;;;
Bosque;Bosque Denso;Boy04;;Pajarito;Boyacá;5.371756;-72.586404;1326;;;
Bosque;Bosque Denso;Boy05;;Pajarito;Boyacá;5.345998;-72.734045;1776;;;
Bosque;Bosque denso;Boy06;;Páez;Boyacá;5.088769;-72.976328;1777;;;
Bosque;Bosque fragmentado;Boy07;;Páez;Boyacá;5.129229;-72.976836;1445;;;
Bosque;Bosque denso;Boy08;;San Eduardo;Boyacá;5.172447;-73.057429;2119;;;
Bosque;Bosque fragmentado;Boy09;;Quipamá;Boyacá;5.547909;-74.229452;1562;;;
Bosque;Bosque denso;Boy10;;San Pablo De Borbur;Boyacá;5.64591;-74.107333;1273;;;
Café;Café;Boy11;;San Pablo De Borbur;Boyacá;5.681382;-74.108866;1566;;;
Bosque;Bosque denso;Boy12;;Pauna;Boyacá;5.76667;-74.060855;1632;;;
Bosque;Bosque denso;Boy13;Vereda Agua;Pisba;Boyacá;5.6284167;-72.5073889;1956;;;
Bosque;Bosque denso;Boy14;;Paya;Boyacá;5.579197;-72.467707;1621;;;
Bosque;Borde de bosque;CAL_ALC02;;;Caldas;5.659727;-75.5297908;1000;2020;;
Bosque;Bosque secundario ;CAL_ALC03;;;Caldas;5.646369;-75.5308572;1110;2020;;
Bosque;Borde de bosque;CAL_ALC04;;;Caldas;5.640247;-75.5320334;1188;2020;;
Bosque;Borde de bosque;CAL_ALC05;;;Caldas;5.625703;-75.533546;1446;2020;;
Bosque;Bosque secundario ;CAL_ALC06;;;Caldas;5.653296;-75.5326837;1137;2020;;
Bosque;Bosque secundario ;CAL_ALC07;;;Caldas;5.661815;-75.5316112;1000;2020;;
